template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_status,termination_condition,mip_gap,runtime_seconds,adjustment_objective
2025-02-04,2025-02-05T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00029520000680349767,0.0
2025-02-05,2025-02-05T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-05,2025-02-05T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03723889999673702,2052.6921771754965
2025-02-05,2025-02-05T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.04681890000938438,0.0
2025-02-05,2025-02-05T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.01303659999393858,0.0
2025-02-05,2025-02-06T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00031200001831166446,0.0
2025-02-06,2025-02-06T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-06,2025-02-06T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03274149997741915,0.0
2025-02-06,2025-02-06T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.03919300000416115,0.0
2025-02-06,2025-02-06T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.013622600003145635,0.0
2025-02-06,2025-02-07T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0003133999998681247,0.0
2025-02-07,2025-02-07T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-07,2025-02-07T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.0343558999884408,0.0
2025-02-07,2025-02-07T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.06803100000252016,0.0
2025-02-07,2025-02-07T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.010592799982987344,0.0
2025-02-07,2025-02-08T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00022560000070370734,0.0
2025-02-08,2025-02-08T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-08,2025-02-08T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.06285170000046492,1361.0927298732402
2025-02-08,2025-02-08T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.02929890001541935,937.0215365660702
2025-02-08,2025-02-08T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.011173300008522347,0.0
2025-02-08,2025-02-09T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00024839999969117343,0.0
2025-02-09,2025-02-09T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-09,2025-02-09T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.042328799987444654,1154.6812656712957
2025-02-09,2025-02-09T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.038849900010973215,447.6628916637954
2025-02-09,2025-02-09T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.010433599993120879,0.0
2025-02-09,2025-02-10T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0002954999799840152,0.0
2025-02-10,2025-02-10T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-10,2025-02-10T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.02661679999437183,0.0
2025-02-10,2025-02-10T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.03591730000334792,1318.816770752392
2025-02-10,2025-02-10T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.00991049999720417,0.0
2025-02-10,2025-02-11T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00028300000121816993,0.0
2025-02-11,2025-02-11T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-11,2025-02-11T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03920510000898503,0.0
2025-02-11,2025-02-11T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.05680570000549778,0.0
2025-02-11,2025-02-11T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.011820900021120906,0.0
2025-02-11,2025-02-12T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00023219999275170267,0.0
2025-02-12,2025-02-12T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-12,2025-02-12T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.01849940000101924,0.0
2025-02-12,2025-02-12T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.019816999993054196,0.0
2025-02-12,2025-02-12T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.012228400009917095,0.0
2025-02-12,2025-02-13T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0002716000017244369,0.0
2025-02-13,2025-02-13T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-02-13,2025-02-13T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.044396999990567565,285.8786043728336
2025-02-13,2025-02-13T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.04394020000472665,1292.8844368617304
2025-02-13,2025-02-13T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.011780000000726432,0.0
