period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-14,87187.97727098766,22492.586320987655,18218.994919999997,851.2400033333325,11957.946373333332,55725.43044240747,3141.2949532383304,58866.7253956458,1200.0,1200.0,569.5799999999999,1260.0319999999992
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-15,87127.16904333333,0.0,0.0,112.87592333333339,14490.993866666666,68636.27237471932,510.58594449666697,69146.85831921599,6000.0,6000.0,798.9500000000007,1924.1999999999998
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-15,89961.62564986666,22480.247946666666,18209.000836799998,718.6433499999995,13659.97079,57410.06116909988,2041.5212956983316,59451.58246479821,1200.0,1200.0,798.9500000000007,1924.1999999999998
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-16,86901.31207333333,0.0,0.0,467.4384900000005,15234.187663333334,67951.17726572233,1564.1847476900002,69515.36201341233,6000.0,6000.0,1036.8600000000006,1769.4678000000004
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-16,90922.19280804651,22589.67614761317,18297.637679566666,467.43849000000046,14963.02993,57436.429651586215,1564.1847476899998,59000.614399276215,1200.0,1200.0,1036.8600000000006,1769.4678000000004
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-17,86959.30077,0.0,0.0,799.1558699999994,15038.040340000003,67957.22808779833,3759.672464649997,71716.90055244832,6000.0,6000.0,1133.6599999999999,1133.0625
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-17,90467.01788435431,22530.688584320982,18249.8577533,926.2577766666664,14392.028530000003,57170.88042722304,4382.084205649998,61552.96463287304,1200.0,1200.0,1133.6599999999999,1133.0625
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-18,89010.17498333333,0.0,0.0,0.0,57735.926283333334,70261.89640822267,0.0,70261.89640822267,6000.0,6000.0,3639.7200000000003,1701.1566999999995
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-18,91642.24324124568,23048.388989012346,18669.1950811,0.0,55988.80063333334,58601.15897377093,0.0,58601.15897377093,1200.0,1200.0,3639.7200000000003,1701.1566999999995
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-19,55565.676166666664,0.0,0.0,221.18135333333322,28604.03882,41300.409981527664,699.102371726666,41999.51235325433,6000.0,6000.0,1433.3200000000006,1717.9875000000002
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-19,48377.096444032926,14429.39514403292,11687.810066666667,221.18135333333336,18673.874020000003,28980.347633528127,699.1023717266664,29679.450005254792,1200.0,1200.0,1433.3200000000006,1717.9875000000002
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-20,55414.796173333336,0.0,0.0,20293.454626666666,3618.272,41269.99364895034,89338.86875854834,130608.86240749867,6000.0,6000.0,3568.5624,1140.8250000000007
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-20,47273.72314757202,13296.36191769547,10770.053153333334,27735.822016790124,393.25760000000014,28915.638261216824,115263.10115433586,144178.7394155527,1200.0,1200.0,3568.5624,1140.8250000000007
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-21,87232.98491,0.0,0.0,240.64258999999987,13483.8783,68466.48290068001,832.8995603499993,69299.38246103,6000.0,6000.0,704.9699999999993,1087.7705999999998
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-21,90752.72577123334,22524.613743333328,18244.9371321,284.76123666666643,12768.06119666667,57476.11406751351,965.2742751249989,58441.38834263851,1200.0,1200.0,704.9699999999993,1087.7705999999998
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-22,88568.72689666666,0.0,0.0,515.8677133333331,15289.450010000002,69680.28280664534,2024.658863918332,71704.94167056367,6000.0,6000.0,772.3000000000002,1673.3138
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-22,92575.86203336666,22448.77593,18183.5085033,576.2951799999989,15091.745186666669,58893.55732597613,2260.6515666183295,61154.208892594455,1200.0,1200.0,772.3000000000002,1673.3138
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-23,88233.91576999999,0.0,0.0,520.7939700000007,14538.162639999999,69255.06454059732,2600.5196577516704,71855.584198349,6000.0,6000.0,608.0100000000002,1306.4031000000004
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-23,91555.7143782716,23156.57627160494,18756.82678,612.2660133333341,13551.683799999999,58263.94054199128,2825.66072873667,61089.60127072795,1200.0,1200.0,608.0100000000002,1306.4031000000004
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-24,89160.59051333333,0.0,0.0,175.51404333333346,15719.632356666667,70240.87635296767,654.1778408733335,70895.054193841,6000.0,6000.0,1015.4100000000003,1628.0625
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-24,92251.61521543046,23425.48888823045,18974.645999466662,651.0891666666672,14835.389293333335,58849.068519428736,2368.7589662916685,61217.8274857204,1200.0,1200.0,1015.4100000000003,1628.0625
formal_output,B0_NO_STORAGE_REFERENCE,2025-07-25,88423.97682666668,0.0,0.0,0.0,61918.65632666667,69247.05311395266,0.0,69247.05311395266,6000.0,6000.0,3741.3300000000004,1248.8820999999998
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07-25,92011.80019085555,23404.55709222222,18957.6912447,0.0,61059.61384333334,58434.16174596516,0.0,58434.16174596516,1200.0,1200.0,3741.3300000000004,1248.8820999999998
