hypothesis,issue_hour,period,month,n,MAE_kw,RMSE_kw,bias_kw
H1_point,0,morning_06_10,10,124,168.27931935483872,277.0242023469027,-47.850530645161264
H1_point,0,morning_06_10,11,120,100.8649775,178.0524438035498,19.67016916666665
H1_point,0,morning_06_10,12,124,65.6507879032258,130.71540082833891,-6.867610483870982
H1_point,0,morning_06_10,ALL,1460,150.98130315068494,243.89754397954923,-17.43139958904109
H1_point,0,night_18_06,01,371,0.0,0.0,0.0
H1_point,0,night_18_06,02,336,0.0,0.0,0.0
H1_point,0,night_18_06,03,372,0.15057204301075264,1.2460364328498772,0.026089247311827945
H1_point,0,night_18_06,04,360,5.534075,25.07342060977122,0.710809999999999
H1_point,0,night_18_06,05,372,8.148734677419354,37.6724286682628,-1.9487943548387088
H1_point,0,night_18_06,06,360,10.530629444444447,43.47043405377576,-2.502594444444444
H1_point,0,night_18_06,07,372,11.418711559139787,47.85318201065265,1.994177150537634
H1_point,0,night_18_06,08,372,8.261769623655915,35.23407979909668,-1.424589516129033
H1_point,0,night_18_06,09,360,1.261795277777778,8.470037144453187,-0.24180083333333363
H1_point,0,night_18_06,10,372,0.0,0.0,0.0
H1_point,0,night_18_06,11,360,0.0,0.0,0.0
H1_point,0,night_18_06,12,372,0.0,0.0,0.0
H1_point,0,night_18_06,ALL,4379,3.801329298926696,25.17183619602621,-0.28213071477506285
H1_point,0,noon_10_14,01,124,378.0490814516129,494.50703035104624,-12.265254032258106
H1_point,0,noon_10_14,02,112,512.7683178571428,625.0440497903568,-215.9787892857143
H1_point,0,noon_10_14,03,124,626.5404306451611,767.9294979597862,-229.05782580645158
H1_point,0,noon_10_14,04,120,571.4521608333333,693.0426722632526,-76.29659916666667
H1_point,0,noon_10_14,05,124,499.5268637096773,632.2134786038015,51.74095403225803
H1_point,0,noon_10_14,06,120,495.8902666666667,645.9604708072268,-45.40277166666667
H1_point,0,noon_10_14,07,124,528.8889427419355,662.8070870943944,79.73776048387104
H1_point,0,noon_10_14,08,124,640.425014516129,840.3192382078382,-203.54428870967752
H1_point,0,noon_10_14,09,120,582.5634433333333,748.6579636309469,49.14296666666671
H1_point,0,noon_10_14,10,124,683.082435483871,881.0584921654595,-295.67434032258075
H1_point,0,noon_10_14,11,120,441.34669416666657,535.7312369579656,-9.786245833333336
H1_point,0,noon_10_14,12,124,429.8740806451612,536.9824353891053,31.29013548387094
H1_point,0,noon_10_14,ALL,1460,532.8029648630137,682.5726227092963,-72.4072444520548
H1_point,6,ALL,01,738,69.81449146341464,153.94616538488862,-13.485342411924112
H1_point,6,ALL,02,672,81.5150587797619,180.05042257064744,-9.210123660714286
H1_point,6,ALL,03,744,101.74066572580647,216.22326101176515,25.455601478494632
H1_point,6,ALL,04,720,99.17521722222222,194.82071804146733,1.234947222222201
H1_point,6,ALL,05,744,120.18559274193545,232.9023079123288,-56.46753279569893
H1_point,6,ALL,06,720,101.91766472222221,200.066767128808,-2.282843055555558
H1_point,6,ALL,07,744,107.02717580645161,225.49184051578914,-6.720812096774199
H1_point,6,ALL,08,744,114.45721854838712,230.01468689574273,-7.596753225806447
H1_point,6,ALL,09,720,116.71839472222223,239.70239318032492,-13.91088166666667
H1_point,6,ALL,10,744,106.98429247311827,238.55206400384816,20.08694569892472
H1_point,6,ALL,11,720,86.88345513888888,190.51716738284748,-21.833388749999994
H1_point,6,ALL,12,744,62.094308064516134,149.1684399467677,-5.3558913978494695
H1_point,6,ALL,ALL,8754,97.48382746173178,206.73828686588118,-7.470526228010055
H1_point,6,afternoon_14_18,01,124,164.8003266129032,228.58021569300539,-12.873020161290318
H1_point,6,afternoon_14_18,02,112,205.43719821428573,298.2251986756554,-42.7110285714286
H1_point,6,afternoon_14_18,03,124,291.4865709677419,374.1450855494412,8.560503225806412
H1_point,6,afternoon_14_18,04,120,246.27172916666666,313.6762072724687,32.288760833333285
H1_point,6,afternoon_14_18,05,124,285.1533435483871,377.1331634423779,-121.8402241935484
H1_point,6,afternoon_14_18,06,120,248.5573758333333,330.79222447825924,-6.577717500000038
H1_point,6,afternoon_14_18,07,124,250.11136854838705,359.79790886937343,1.4278943548386693
H1_point,6,afternoon_14_18,08,124,325.7212024193548,419.03863678637896,-56.704862096774164
H1_point,6,afternoon_14_18,09,120,280.0715491666667,372.95793084095527,-43.95715916666667
H1_point,6,afternoon_14_18,10,124,233.503375,338.61635518393376,20.672105645161267
H1_point,6,afternoon_14_18,11,120,203.625345,281.86638447870297,-13.31265666666667
H1_point,6,afternoon_14_18,12,124,140.5214274193549,222.7556741406204,-3.4605806451612926
H1_point,6,afternoon_14_18,ALL,1460,239.8308152739726,331.86355192723977,-19.817631986301386
H1_point,6,morning_06_10,01,123,26.534308130081296,49.38439538494918,-15.439368292682914
H1_point,6,morning_06_10,02,112,30.450908928571433,60.42377070881042,1.2748178571428848
H1_point,6,morning_06_10,03,124,38.297618548387106,67.71868735129907,11.06996209677424
H1_point,6,morning_06_10,04,120,69.65657833333331,102.95513391895601,-5.1957366666666225
H1_point,6,morning_06_10,05,124,111.09697903225802,182.8003705800966,-47.194056451612894
H1_point,6,morning_06_10,06,120,82.05495083333332,129.5015507208662,0.3381224999999925
H1_point,6,morning_06_10,07,124,90.46464354838704,138.33798401247856,-26.720045161290326
H1_point,6,morning_06_10,08,124,83.05690241935484,111.16606228427457,7.02950241935485
H1_point,6,morning_06_10,09,120,61.67129000000001,99.64655610780457,-2.1940866666666596
H1_point,6,morning_06_10,10,124,37.346666935483874,67.59874719480159,9.566913709677403
H1_point,6,morning_06_10,11,120,33.366703333333355,62.4895288878425,-2.3036283333333243
H1_point,6,morning_06_10,12,124,22.28999032258064,40.83656849272038,-0.03544677419355809
H1_point,6,morning_06_10,ALL,1459,57.382256134338576,101.54569129404764,-5.906795956134328
H1_point,6,night_18_06,01,367,0.0,0.0,0.0
H1_point,6,night_18_06,02,336,0.0,0.0,0.0
H1_point,6,night_18_06,03,372,0.16900456989247314,1.6508474393914057,-0.15072768817204302
H1_point,6,night_18_06,04,360,3.735163055555554,18.44313499783787,0.9404313888888874
H1_point,6,night_18_06,05,372,5.760367204301075,25.127543024303545,-2.2865279569892465
H1_point,6,night_18_06,06,360,6.393290000000002,25.6805437642575,-0.08061722222222024
H1_point,6,night_18_06,07,372,6.482134677419355,27.495115759786486,0.2948303763440843
